,항목,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,법1동,법2동,신탄진동,석봉동,덕암동,목상동
,남,46,6,2,7,4,5,3,3,5,3,5,3,0
,여,155,12,7,15,21,19,11,21,14,8,7,14,6
91세,계,153,15,12,11,15,15,17,11,18,9,11,15,4
,남,42,3,3,5,4,3,6,2,3,1,3,7,2
,여,111,12,9,6,11,12,11,9,15,8,8,8,2
92세,계,108,5,8,14,5,13,10,7,19,6,10,10,1
,남,20,0,2,5,0,3,0,1,3,1,2,3,0
,여,88,5,6,9,5,10,10,6,16,5,8,7,1
93세,계,92,11,3,14,11,8,5,6,8,13,8,3,2
,남,17,3,1,2,3,0,1,2,1,3,1,0,0
,여,75,8,2,12,8,8,4,4,7,10,7,3,2
94세,계,72,7,5,4,6,10,7,7,7,6,2,8,3
,남,15,0,0,1,2,2,0,4,2,1,0,3,0
,여,57,7,5,3,4,8,7,3,5,5,2,5,3
95세,계,47,8,4,5,3,6,4,3,2,5,3,2,2
,남,10,0,0,2,1,3,0,2,0,1,1,0,0
,여,37,8,4,3,2,3,4,1,2,4,2,2,2
96세,계,22,3,3,2,4,0,1,0,2,2,0,4,1
,남,2,2,0,0,0,0,0,0,0,0,0,0,0
,여,20,1,3,2,4,0,1,0,2,2,0,4,1
97세,계,18,3,1,0,3,2,1,2,3,0,1,1,1
,남,3,0,0,0,1,0,1,0,0,0,0,1,0
,여,15,3,1,0,2,2,0,2,3,0,1,0,1
98세,계,25,4,1,1,0,1,2,4,7,1,0,2,2
,남,1,0,0,0,0,0,0,0,1,0,0,0,0
,여,24,4,1,1,0,1,2,4,6,1,0,2,2
99세,계,10,2,1,0,0,0,2,0,1,1,1,0,2
,남,2,1,0,0,0,0,0,0,1,0,0,0,0
,여,8,1,1,0,0,0,2,0,0,1,1,0,2
100세,계,14,4,2,2,0,0,1,1,0,2,0,2,0
,남,1,1,0,0,0,0,0,0,0,0,0,0,0
,여,13,3,2,2,0,0,1,1,0,2,0,2,0
101세,계,4,0,0,0,0,1,0,1,0,2,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,4,0,0,0,0,1,0,1,0,2,0,0,0
102세,계,2,1,0,0,1,0,0,0,0,0,0,0,0
,남,1,0,0,0,1,0,0,0,0,0,0,0,0
,여,1,1,0,0,0,0,0,0,0,0,0,0,0
103세,계,2,0,0,0,0,1,0,0,0,1,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,2,0,0,0,0,1,0,0,0,1,0,0,0
104세,계,1,0,0,0,0,0,0,0,0,1,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,0,0,0,0,0,1,0,0,0
105세,계,1,0,0,0,1,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,1,0,0,0,0,0,0,0,0
106세,계,1,0,0,0,0,0,0,0,0,1,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,0,0,0,0,0,1,0,0,0
107세,계,1,0,0,0,0,0,0,0,0,0,0,1,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,1,0,0,0,0,0,0,0,0,0,0,1,0
108세,계,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0
109세,계,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0
110세 이상,계,0,0,0,0,0,0,0,0,0,0,0,0,0
,남,0,0,0,0,0,0,0,0,0,0,0,0,0
,여,0,0,0,0,0,0,0,0,0,0,0,0,0
